iter	Passed	Remaining
782	2428	6874
783	2431	6872
784	2435	6871
785	2438	6869
786	2441	6866
787	2445	6864
788	2448	6862
789	2452	6859
790	2456	6859
791	2459	6856
792	2462	6853
793	2466	6852
794	2469	6849
795	2473	6847
796	2476	6845
797	2480	6843
798	2483	6840
799	2486	6837
800	2489	6835
801	2493	6832
802	2496	6830
803	2499	6827
804	2503	6825
805	2506	6822
806	2509	6820
807	2513	6818
808	2516	6815
809	2519	6813
810	2523	6810
811	2526	6807
812	2530	6805
813	2533	6803
814	2536	6800
815	2540	6798
816	2543	6796
817	2547	6794
818	2550	6792
819	2554	6789
820	2557	6787
821	2560	6785
822	2564	6783
823	2568	6781
824	2571	6779
825	2575	6778
826	2578	6776
827	2582	6773
828	2585	6770
829	2588	6768
830	2592	6765
831	2595	6763
832	2598	6761
833	2602	6758
834	2606	6757
835	2609	6755
836	2613	6753
837	2617	6753
838	2621	6751
839	2624	6749
840	2629	6749
841	2632	6746
842	2635	6743
843	2639	6743
844	2643	6742
845	2648	6742
846	2652	6741
847	2655	6739
848	2659	6738
849	2663	6736
850	2666	6733
851	2669	6730
852	2672	6726
853	2675	6723
854	2678	6720
855	2681	6716
856	2684	6713
857	2687	6709
858	2690	6706
859	2693	6703
860	2696	6699
861	2699	6696
862	2702	6693
863	2705	6689
864	2708	6686
865	2712	6683
866	2715	6679
867	2718	6676
868	2721	6672
869	2724	6669
870	2727	6666
871	2730	6662
872	2733	6659
873	2736	6655
874	2739	6652
875	2742	6648
876	2745	6645
877	2748	6642
878	2751	6639
879	2755	6637
880	2758	6633
881	2761	6630
882	2764	6626
883	2767	6623
884	2770	6620
885	2773	6616
886	2776	6613
887	2779	6610
888	2782	6606
889	2785	6603
890	2788	6599
891	2791	6596
892	2794	6592
893	2797	6589
894	2800	6585
895	2803	6582
896	2806	6579
897	2809	6575
898	2812	6572
899	2815	6568
900	2818	6565
901	2821	6561
902	2824	6558
903	2827	6554
904	2830	6551
905	2833	6548
906	2836	6544
907	2839	6541
908	2842	6538
909	2845	6534
910	2848	6531
911	2851	6527
912	2854	6524
913	2857	6521
914	2860	6518
915	2863	6514
916	2866	6511
917	2869	6507
918	2872	6504
919	2875	6500
920	2878	6497
921	2882	6495
922	2885	6492
923	2888	6489
924	2891	6485
925	2894	6482
926	2897	6479
927	2900	6475
928	2903	6472
929	2906	6469
930	2909	6466
931	2913	6463
932	2916	6461
933	2919	6458
934	2923	6456
935	2926	6454
936	2930	6451
937	2933	6448
938	2936	6444
939	2939	6441
940	2942	6438
941	2945	6434
942	2948	6431
943	2951	6428
944	2954	6424
945	2957	6421
946	2960	6417
947	2963	6414
948	2966	6411
949	2969	6407
950	2972	6404
951	2975	6401
952	2978	6397
953	2981	6394
954	2984	6391
955	2987	6387
956	2990	6384
957	2993	6380
958	2996	6377
959	2999	6373
960	3002	6370
961	3005	6367
962	3008	6364
963	3011	6360
964	3014	6357
965	3017	6354
966	3020	6350
967	3023	6347
968	3026	6344
969	3029	6340
970	3032	6337
971	3035	6334
972	3038	6330
973	3041	6327
974	3044	6324
975	3047	6320
976	3050	6317
977	3054	6314
978	3057	6310
979	3059	6307
980	3062	6303
981	3066	6300
982	3068	6297
983	3071	6293
984	3074	6290
985	3077	6287
986	3080	6283
987	3083	6280
988	3086	6276
989	3089	6273
990	3092	6270
991	3095	6266
992	3098	6263
993	3101	6259
994	3104	6256
995	3107	6253
996	3110	6249
997	3113	6246
998	3116	6242
999	3119	6239
1000	3122	6235
1001	3125	6232
1002	3128	6228
1003	3131	6225
1004	3134	6222
1005	3137	6219
1006	3141	6216
1007	3144	6213
1008	3147	6210
1009	3150	6207
1010	3153	6204
1011	3156	6201
1012	3159	6197
1013	3162	6194
1014	3166	6191
1015	3169	6188
1016	3172	6185
1017	3175	6182
1018	3178	6178
1019	3181	6175
1020	3184	6172
1021	3187	6168
1022	3190	6165
1023	3193	6162
1024	3196	6159
1025	3199	6156
1026	3202	6153
1027	3205	6149
1028	3208	6146
1029	3211	6142
1030	3214	6139
1031	3217	6136
1032	3220	6132
1033	3223	6129
1034	3226	6126
1035	3229	6122
1036	3232	6119
1037	3235	6116
1038	3238	6112
1039	3241	6109
1040	3244	6105
1041	3247	6102
1042	3250	6099
1043	3253	6096
1044	3256	6093
1045	3260	6089
1046	3263	6086
1047	3266	6083
1048	3269	6080
1049	3272	6076
1050	3275	6073
1051	3278	6070
1052	3281	6067
1053	3284	6064
1054	3287	6060
1055	3290	6057
1056	3293	6054
1057	3296	6051
1058	3299	6047
1059	3302	6044
1060	3305	6041
1061	3308	6038
1062	3312	6035
1063	3315	6031
1064	3318	6028
1065	3321	6025
1066	3324	6022
1067	3327	6018
1068	3330	6015
1069	3333	6012
1070	3336	6010
1071	3339	6006
1072	3342	6003
1073	3345	6000
1074	3349	5997
1075	3352	5993
1076	3354	5990
1077	3357	5986
1078	3360	5983
1079	3364	5980
1080	3367	5977
1081	3370	5974
1082	3373	5970
1083	3375	5967
1084	3378	5963
1085	3381	5960
1086	3384	5957
1087	3387	5953
1088	3391	5950
1089	3394	5947
1090	3397	5944
1091	3400	5940
1092	3403	5937
1093	3406	5934
1094	3409	5930
1095	3412	5927
1096	3415	5924
1097	3418	5921
1098	3421	5917
1099	3424	5914
1100	3427	5911
1101	3430	5907
1102	3433	5904
1103	3436	5901
1104	3439	5897
1105	3442	5894
1106	3445	5891
1107	3448	5888
1108	3451	5884
1109	3455	5882
1110	3458	5879
1111	3461	5876
1112	3464	5873
1113	3467	5870
1114	3470	5867
1115	3473	5863
1116	3476	5860
1117	3479	5857
1118	3482	5853
1119	3485	5850
1120	3488	5847
1121	3491	5844
1122	3494	5840
1123	3497	5837
1124	3500	5834
1125	3503	5830
1126	3506	5827
1127	3509	5824
1128	3512	5820
1129	3515	5817
1130	3518	5814
1131	3521	5811
1132	3524	5808
1133	3527	5804
1134	3530	5801
1135	3533	5797
1136	3536	5794
1137	3539	5791
1138	3542	5788
1139	3545	5784
1140	3548	5781
1141	3551	5778
1142	3554	5774
1143	3557	5771
1144	3560	5768
1145	3563	5764
1146	3566	5761
1147	3569	5758
1148	3572	5755
1149	3575	5752
1150	3579	5749
1151	3582	5746
1152	3585	5743
1153	3588	5739
1154	3591	5736
1155	3594	5733
1156	3597	5730
1157	3600	5726
1158	3603	5723
1159	3606	5720
1160	3609	5716
1161	3612	5713
1162	3615	5710
1163	3618	5706
1164	3621	5703
1165	3624	5700
1166	3627	5697
1167	3630	5694
1168	3633	5690
1169	3636	5687
1170	3639	5684
1171	3642	5681
1172	3645	5678
1173	3648	5675
1174	3651	5672
1175	3654	5668
1176	3657	5665
1177	3660	5662
1178	3663	5659
1179	3666	5655
1180	3669	5652
1181	3672	5649
1182	3675	5645
1183	3678	5642
1184	3681	5639
1185	3684	5635
1186	3687	5632
1187	3691	5629
1188	3694	5627
1189	3697	5624
1190	3701	5621
1191	3705	5619
1192	3708	5617
1193	3712	5615
1194	3715	5612
1195	3718	5609
1196	3722	5606
1197	3725	5604
1198	3729	5601
1199	3733	5599
1200	3736	5597
1201	3740	5595
1202	3744	5593
1203	3748	5591
1204	3752	5589
1205	3755	5586
1206	3759	5584
1207	3762	5581
1208	3766	5579
1209	3769	5576
1210	3773	5574
1211	3777	5572
1212	3780	5569
1213	3784	5567
1214	3787	5564
1215	3790	5561
1216	3794	5558
1217	3798	5557
1218	3801	5554
1219	3805	5552
1220	3808	5549
1221	3811	5546
1222	3815	5543
1223	3819	5541
1224	3823	5539
1225	3826	5536
1226	3829	5533
1227	3833	5531
1228	3836	5529
1229	3840	5526
1230	3843	5523
1231	3846	5520
1232	3850	5517
1233	3853	5515
1234	3856	5512
1235	3860	5509
1236	3863	5506
1237	3866	5503
1238	3869	5500
1239	3873	5497
1240	3876	5494
1241	3879	5491
1242	3882	5488
1243	3885	5485
1244	3888	5481
1245	3892	5479
1246	3895	5476
1247	3898	5473
1248	3901	5470
1249	3904	5466
1250	3907	5463
1251	3911	5460
1252	3914	5457
1253	3917	5454
1254	3920	5451
1255	3923	5447
1256	3926	5444
1257	3929	5440
1258	3932	5437
1259	3935	5434
1260	3938	5431
1261	3941	5427
1262	3944	5424
1263	3947	5421
1264	3950	5418
1265	3953	5415
1266	3956	5411
1267	3959	5408
1268	3962	5405
1269	3965	5401
1270	3969	5399
1271	3972	5396
1272	3975	5392
1273	3977	5389
1274	3980	5385
1275	3984	5382
1276	3986	5379
1277	3989	5375
1278	3992	5372
1279	3995	5369
1280	3998	5366
1281	4001	5363
1282	4004	5359
1283	4008	5356
1284	4011	5353
1285	4014	5350
1286	4017	5346
1287	4020	5343
1288	4023	5340
1289	4026	5337
1290	4029	5333
1291	4032	5330
1292	4035	5327
1293	4038	5324
1294	4041	5321
1295	4045	5318
1296	4047	5315
1297	4050	5311
1298	4053	5308
1299	4056	5305
1300	4059	5301
1301	4062	5298
1302	4065	5295
1303	4068	5292
1304	4072	5289
1305	4075	5285
1306	4078	5282
1307	4081	5279
1308	4084	5276
1309	4087	5272
1310	4090	5269
1311	4093	5266
1312	4096	5263
1313	4099	5260
1314	4102	5256
1315	4105	5253
1316	4108	5250
1317	4111	5246
1318	4114	5243
1319	4117	5240
1320	4120	5236
1321	4123	5233
1322	4126	5230
1323	4129	5227
1324	4132	5223
1325	4135	5220
1326	4138	5217
1327	4141	5213
1328	4144	5210
1329	4147	5207
1330	4150	5203
1331	4153	5200
1332	4156	5197
1333	4159	5194
1334	4162	5190
1335	4165	5187
1336	4168	5184
1337	4171	5181
1338	4174	5178
1339	4177	5174
1340	4180	5171
1341	4183	5168
1342	4186	5165
1343	4189	5162
1344	4192	5158
1345	4195	5155
1346	4198	5152
1347	4202	5149
1348	4205	5146
1349	4208	5143
1350	4211	5140
1351	4214	5136
1352	4217	5133
1353	4220	5130
1354	4223	5127
1355	4226	5124
1356	4229	5120
1357	4232	5117
1358	4235	5114
1359	4238	5110
1360	4241	5107
1361	4244	5104
1362	4247	5100
1363	4249	5097
1364	4252	5094
1365	4255	5090
1366	4258	5087
1367	4261	5084
1368	4264	5081
1369	4267	5077
1370	4270	5074
1371	4274	5071
1372	4277	5068
1373	4280	5065
1374	4283	5062
1375	4286	5058
1376	4289	5055
1377	4292	5052
1378	4295	5049
1379	4298	5045
1380	4301	5042
1381	4304	5039
1382	4307	5036
1383	4310	5032
1384	4313	5029
1385	4316	5026
1386	4319	5023
1387	4322	5020
1388	4325	5017
1389	4328	5014
1390	4331	5010
1391	4334	5007
1392	4337	5004
1393	4340	5001
1394	4343	4997
1395	4347	4994
1396	4350	4991
1397	4353	4988
1398	4356	4985
1399	4359	4981
1400	4362	4978
1401	4365	4975
1402	4368	4972
1403	4371	4968
1404	4374	4965
1405	4377	4962
1406	4379	4958
1407	4382	4955
1408	4385	4952
